지역,제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
,백록담을 백두산 천지처럼 만들자,"현황 및 문제점
제주도 백록담은 화산석으로 이루져 있어 빗물이 고여 있질 않아 우기에만 잠깐 백록담을 볼 수 있다. 따라서 1년내내 물이 고여있는 백록담을 볼 수 있다면 관광차원에서 좋을뿐만 아니라 그 고여있는 빗물을 활용할 수 있어 일거양득이 될 수 있을 것이다. 세계 최고수준의 대한민국 토목기술이라면 방수포를 깔던지 방수제를 이용하던지 조금만 연구를 하면 가능하지 않을까 생각한다. 오늘 신문에 난 기사를 보고(우기가 만든 백록담) 생각나서 제안해 본다.
개선방안
비가 내리는 우기에만 볼 수 있는 백록담이 안타깝다. 백두산 천지처럼 일년내내 물이 고여있는 백록담을 볼 수있기를 바라는 마음에서 제안을 해본다. 세계 최고수준의 대한민국 토목기술이라면 방수포를 깔던지 방수제를 이용하던지 조금만 연구를 하면 가능하지 않을까 생각한다. 오늘 신문에 난 기사를 보고(우기가 만든 백록담) 생각나서 제안해 본다.
기대효과
땀을 비오듯 쏟으며 백록담을 보러갔는데 물도 없는 백록담을 보고오는 맘들이 참으로 안타까웠다. 1년내내 물이 고여있는 백록담을 볼 수 있다면 국내관광뿐만 아니라 외국 관광객 홍보에도 유용하게 이용할 수 있을 것이며 ( 대한민국 토목기술로 백록담을 만들었다는---) 그 물을 계속 돌려 인공폭포도 주변 기암절벽을 이용하여 만든다면 관광차원에서 좋을뿐만 아니라 그 고여있는 빗물을 다양하게 활용할 수 있어 좋을 것이다.",2022-08-03,"한라산국립공원에 깊은 관심을 가지시고 제안을 주신데 대하여 감사의 말씀을 드립니다. 선생님께서 제안해 주신 사안에 대해 회신하여 드립니다.
한라산은 국립공원이며 천연기념물 제182호로 우리가 보존해야 할 소중한 유산이며 한라산국립공원은 자연경관을 보존하기 위해 최소한의 시설만 설치할 수 있는 지역입니다. 또한, 백록담의 방수포 설치와 관련해서는 인위적인 복구보다는 자연 그대로 존치하는 것이 바람직 하다는 입장입니다.
우리 제주특별자치도 도정 업무에 관심을 가져주신 데 대해 감사드리며, 앞으로도 많은 의견 주시기 바랍니다.",2022-09-27,제주특별자치도,답변완료
,제주도 환상 자건거길 정비가 필요합니다.,"현황 및 문제점
2022년7월16일~18일 3일간 제주도 환상자전거길을 다녀왔습니다.
총 234km구간으로 파란색 라인을 따라 대부분의 해안로를 달릴수있는 정말 환상적인 코스임에 분명했습니다.
하지만 문제점이 있습니다.

첫번째로 자전거길에 쓰레기는 거의 없다고 해도 무방할 정도로 쓰레기는 없지만, 자전거 타이어를 위협하는 자갈이 너무 많습니다.
자갈이 없는 구간보다 자갈이 많은 구간이 더 많습니다. 환상자전거길에 자전거 정비소는 단 한군데도 못봤습니다. 펑크나는 순간 모든게 끝입니다.

두번째로 공사구간이나, 아스팔트를 새로 포장한 도로는 파란색 실선이 없어서 당황하기 일수였습니다.

세번째로 교차로에서 길을 잃기 십상입니다. 교차로에 진입하면 진로 방향이 직진이라도
실선이 일괄적으로 우측으로 꺾여있어서 우회전인가보다 하고 우회전을 했다가 실선이 안보여서 주위를 둘러보게 됩니다.
시력이 보통 좋지 않으면 건너편에 다시 시작되는 실선을 보기는 쉽지 않습니다.
좌회전을 해야되는 구간에서 실선을 보기는 거의 불가능한데
미리 직진,우회전,좌회전을 해야된다는 표지판이 있긴하지만 턱없이 부족합니다.
교차로에서는 자전거 특성상 위험예지를 위해서 차량이 오는지 확인해야 하는데 차량을 보랴, 실선을 찾으랴 너무 어려웠습니다.
개선방안
첫번째로, 주기적인 진공청소 차량 및 인원을 투입하여 자갈 제거 작업을 해야합니다. 로드자전거의 타이어는 펑크에 취약합니다.
문제점에서 언급한 바 펑크나는 순간 모든 계획이 펑크납니다.

두번째로, 마찬가지- 주기적인 도색을 하거나 좀더 두껍고 잘보이는 페인트 재질로 확실하게 도색이 필요합니다.

세번째로 실선이 끝나는 구간에는 끝부분을 도로 꺾인 방향으로 매듭짓지 말고, 직진, 좌회전, 우회전을 정확하게 표기해야합니다.
기대효과
최근 코로나19가 다시 증가세를 보이고 있지만 코로나 초기,중기 보다 관광객이 많이 늘었고
자전거 인구도 상당수 늘었습니다.
자전거길이 완벽히 정비되면 입소문을 타고 많은 라이더들이 모일테고 그만큼 관광수입도 늘어날 것 입니다.
그리고 무엇보다 안전하고 편안한 자전거길이 회복됨으로 사고가 줄어들어 인명피해가 급감할것입니다.",2022-07-21,"한라산국립공원에 깊은 관심을 가지시고 제안을 주신데 대하여 감사의 말씀을 드립니다. 선생님께서 제안해 주신 사안에 대해 회신하여 드립니다.
한라산은 국립공원이며 천연기념물 제182호로 우리가 보존해야 할 소중한 유산이며 한라산국립공원은 자연경관을 보존하기 위해 최소한의 시설만 설치할 수 있는 지역입니다. 또한, 백록담의 방수포 설치와 관련해서는 인위적인 복구보다는 자연 그대로 존치하는 것이 바람직 하다는 입장입니다.
우리 제주특별자치도 도정 업무에 관심을 가져주신 데 대해 감사드리며, 앞으로도 많은 의견 주시기 바랍니다.",심사 중,제주시,제안심사
,제주도 환상 자건거길 정비가 필요합니다.,"현황 및 문제점
2022년7월16일~18일 3일간 제주도 환상자전거길을 다녀왔습니다.
총 234km구간으로 파란색 라인을 따라 대부분의 해안로를 달릴수있는 정말 환상적인 코스임에 분명했습니다.
하지만 문제점이 있습니다.

첫번째로 자전거길에 쓰레기는 거의 없다고 해도 무방할 정도로 쓰레기는 없지만, 자전거 타이어를 위협하는 자갈이 너무 많습니다.
자갈이 없는 구간보다 자갈이 많은 구간이 더 많습니다. 환상자전거길에 자전거 정비소는 단 한군데도 못봤습니다. 펑크나는 순간 모든게 끝입니다.

두번째로 공사구간이나, 아스팔트를 새로 포장한 도로는 파란색 실선이 없어서 당황하기 일수였습니다.

세번째로 교차로에서 길을 잃기 십상입니다. 교차로에 진입하면 진로 방향이 직진이라도
실선이 일괄적으로 우측으로 꺾여있어서 우회전인가보다 하고 우회전을 했다가 실선이 안보여서 주위를 둘러보게 됩니다.
시력이 보통 좋지 않으면 건너편에 다시 시작되는 실선을 보기는 쉽지 않습니다.
좌회전을 해야되는 구간에서 실선을 보기는 거의 불가능한데
미리 직진,우회전,좌회전을 해야된다는 표지판이 있긴하지만 턱없이 부족합니다.
교차로에서는 자전거 특성상 위험예지를 위해서 차량이 오는지 확인해야 하는데 차량을 보랴, 실선을 찾으랴 너무 어려웠습니다.
개선방안
첫번째로, 주기적인 진공청소 차량 및 인원을 투입하여 자갈 제거 작업을 해야합니다. 로드자전거의 타이어는 펑크에 취약합니다.
문제점에서 언급한 바 펑크나는 순간 모든 계획이 펑크납니다.

두번째로, 마찬가지- 주기적인 도색을 하거나 좀더 두껍고 잘보이는 페인트 재질로 확실하게 도색이 필요합니다.

세번째로 실선이 끝나는 구간에는 끝부분을 도로 꺾인 방향으로 매듭짓지 말고, 직진, 좌회전, 우회전을 정확하게 표기해야합니다.
기대효과
최근 코로나19가 다시 증가세를 보이고 있지만 코로나 초기,중기 보다 관광객이 많이 늘었고
자전거 인구도 상당수 늘었습니다.
자전거길이 완벽히 정비되면 입소문을 타고 많은 라이더들이 모일테고 그만큼 관광수입도 늘어날 것 입니다.
그리고 무엇보다 안전하고 편안한 자전거길이 회복됨으로 사고가 줄어들어 인명피해가 급감할것입니다.",2022-07-21,"한라산국립공원에 깊은 관심을 가지시고 제안을 주신데 대하여 감사의 말씀을 드립니다. 선생님께서 제안해 주신 사안에 대해 회신하여 드립니다.
한라산은 국립공원이며 천연기념물 제182호로 우리가 보존해야 할 소중한 유산이며 한라산국립공원은 자연경관을 보존하기 위해 최소한의 시설만 설치할 수 있는 지역입니다. 또한, 백록담의 방수포 설치와 관련해서는 인위적인 복구보다는 자연 그대로 존치하는 것이 바람직 하다는 입장입니다.
우리 제주특별자치도 도정 업무에 관심을 가져주신 데 대해 감사드리며, 앞으로도 많은 의견 주시기 바랍니다.",심사 중,서귀포시,제안심사
,"일반인, 사회적 배려계층 등 대상 면역력 검사 서비스 시행","현황 및 문제점
- 최근NK세포의 활성도가 폐암 등 호흡기 질환과 연관성이 있어, NK 세포 활성도 검사가 중증 폐암 진단의 바이오마커 및 호흡기 질환 치료 모니터링 지표가 될 수 있다는 내용으로 연구논문이 벌표되고,차움의 이윤경 교수와 분당차병원 가정의학과 김영상 교수팀의 이번 연구 결과는 국제 의학 학술지 ＇임상의학저널＇(JCM) 최신호에 게재되었다는 기사를 접하였습니다.

- NK세포는 체내 1차 방어작용(선천면역)을 대표하는 면역세포로, 비정상세포나 암세포를 인지하고 사멸하는 기능을 가지고 있어 면역력 유지를 위해서는 활성도를 높이는 것이 중요하다고 합니다.-차움 이윤경 교수는 ""이번 연구 결과를 통해 호흡기 감염이 있는 환자는 NK세포 활성도가 낮아 면역 검사와 관리가 필요하다는 것을 확인할 수 있었다""며 ""특히 기침, 가래, 비염 등이 빈번하게 재발하는 경우 약물치료, 운동, 식이요법 등 평상시에도 면역력을 높일 수 있는 관리를 해야 한다""고 밝혔다.

- 최근 코로나19가 재유행 되고 있고 면역력의 중요성이 대두되고 면역력을 높일 수 있는 관리가 필수적이라고 생각되는데 대다수의 국민들은 자신의 면역력이 얼마나 되는지,어떻게 관리해야 하는지 모르고 있어서 면역력관리를 위한 정책이 필요하다고 생각됩니다.
개선방안
- “NK세포 활성도 검사”를 통하여 혈액내에 존재하는 암세포나 감염세포등을 제거할 수 있는 NK세포의 능력을 측정하여 면력력을 수치화 하는 검사인 “면역력 지표검사”를 시행
- 일반일을 대상으로예산 범위 내 선착순 검사 (단, 코로나19 확진자 및 자가격리자, 사회적 배려계층, 건강관리 대상자 우선 고려)
- 검사제외자 선별: 스테로이드제, 항히스타민제, 항암제 복용중인자, 임신4개월 이하, 만20세미만 등
- 1회 검사, 검사결과 경계 또는 이상구간일 경우 재검사 서비스 제공과맞춤형건강관리 상담 제공
- 검사 결과 통보는 국민편리를 위해문자 또는 이메일 통보, 방문시는 검사결과지 제공
- NK세포활성도검사 실시 사례(의료기관 3,000여곳 시행) : 감염성질환에 대한 면역력으로 단체생활이나 대국민 서비스 현장에 근무하는 근로자, 소방공무원(특히 119구급대), 해양경비대, 경찰공무원, 군인(집단생활), 의료기관 종사자 등

- 근거법령 : 국민건강증진법 제19조(건강증진사업 등) 등
제19조(건강증진사업 등) 
① 국가 및 지방자치단체는 국민건강증진사업에 필요한 요원 및 시설을 확보하고, 그 시설의 이용에 필요한 시책을 강구하여야 한다.
② 특별자치시장ㆍ특별자치도지사ㆍ시장ㆍ군수ㆍ구청장은 지역주민의 건강증진을 위하여 보건복지부령이 정하는 바에 의하여 보건소장으로 하여금 다음 각호의 사업을 하게 할 수 있다. 
1. 보건교육 및 건강상담
2. 영양관리
3. 신체활동장려
4. 구강건강의 관리
5. 질병의 조기발견을 위한 검진 및 처방
6. 지역사회의 보건문제에 관한 조사ㆍ연구
7. 기타 건강교실의 운영등 건강증진사업에 관한 사항
③ 보건소장이 제2항의 규정에 의하여 제2항제1호 내지 제5호의 업무를 행한 때에는 이용자의 개인별 건강상태를 기록하여 유지ㆍ관리하여야 한다. 
④ 건강증진사업에 필요한 시설ㆍ운영에 관하여는 보건복지부령으로 정한다. 
기대효과
- 법령에 의한 국민 건강관리와 건강상태 유지관리
- 국민 건강관리를 통한 건강보험 기금 지출 절감
- 국민 건강증진을 통한 대국민 건강 서비스 질 향상
- 국민 신체활동장려
- 질병의 조기발견을 위한 검진 및 처방가능
- 지역사회의 보건문제에 관한 조사ㆍ연구자료로 활용가능",2022-07-21,"1. 안녕하십니까?
귀하께서 국민신문고를 통해 신청하신 제안 1AB-2207-0021427에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 제안내용은 ""NK세포 활성도 검사 지원""에 관한 것으로 이해 됩니다.

3. 귀하의 제안내용에 대해 검토한 의견은 다음과 같습니다.
가. “NK세포 활성도 검사(정밀면역검사)”는 22년 3월 보건복지부 건강보험정책심의위원회 적합성평가 결과 유효성이 불분명하다고 판단되었으며, 이를 바탕으로 보건소에서 지역주민의 면역력을 수치화하여 제공하는 것은 그 효과성이 미비할 것으로 예상되어 귀하의 제안을 불채택하게 되었음을 안내드립니다.
나. 해당 검사는 필요시 기존 검진기관 등에서 실시할 수 있으며, 면역력 유지 및 활성화를 위해서는 충분한 수면, 식이, 운동 등 건강생활실천이 가장 중요합니다.
다. 저희 보건소에서는 이를 위하여 “모바일 헬스케어사업” 등 건강생활실천 사업을 운영하여 건강위험요인(혈압, 혈당, 중성지방 등) 등이 있는 대상자에게 검진, 상담, 교육 등을 제공하여 지속 관리하는 사업을 운영하고 있으니 참고 바랍니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 제주보건소 보건행정팀 최현철(☏064-728-4022))에게 연락주시면 친절히 안내하여 드리겠습니다. 감사합니다. 끝.",2022-07-26,제주시,답변완료
,훼손된 태극기 제보 이벤트 제안,"현황 및 문제점
제 74주년 제헌절을 맞이 하여 도내 곳곳에 태극기가 게양되었다.
제주시 한경면 고산로 대로변 주변 게양된 태극기의 일부가 심하게 훼손되어 교체가 시급하다.
개선방안
1.게양전 태극기 전수 검수제도 시행
2.훼손된 태극기 발견시 제보 이벤트 실시(타 지자체시행)
기대효과
1. 훼손된 태극기 게양 사전 예방
2. 도민들의 태극기 관심도 증가
3. 관리의 효율화 향상",2022-07-17,"1. 안녕하십니까?
귀하께서 국민신문고를 통해 신청하신 제안 1AB-2207-0021427에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 제안내용은 ""NK세포 활성도 검사 지원""에 관한 것으로 이해 됩니다.

3. 귀하의 제안내용에 대해 검토한 의견은 다음과 같습니다.
가. “NK세포 활성도 검사(정밀면역검사)”는 22년 3월 보건복지부 건강보험정책심의위원회 적합성평가 결과 유효성이 불분명하다고 판단되었으며, 이를 바탕으로 보건소에서 지역주민의 면역력을 수치화하여 제공하는 것은 그 효과성이 미비할 것으로 예상되어 귀하의 제안을 불채택하게 되었음을 안내드립니다.
나. 해당 검사는 필요시 기존 검진기관 등에서 실시할 수 있으며, 면역력 유지 및 활성화를 위해서는 충분한 수면, 식이, 운동 등 건강생활실천이 가장 중요합니다.
다. 저희 보건소에서는 이를 위하여 “모바일 헬스케어사업” 등 건강생활실천 사업을 운영하여 건강위험요인(혈압, 혈당, 중성지방 등) 등이 있는 대상자에게 검진, 상담, 교육 등을 제공하여 지속 관리하는 사업을 운영하고 있으니 참고 바랍니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 제주보건소 보건행정팀 최현철(☏064-728-4022))에게 연락주시면 친절히 안내하여 드리겠습니다. 감사합니다. 끝.",심사 중,제주시,제안심사
,훼손된 태극기 제보 이벤트 제안,"현황 및 문제점
제 74주년 제헌절을 맞이 하여 도내 곳곳에 태극기가 게양되었다.
제주시 한경면 고산로 대로변 주변 게양된 태극기의 일부가 심하게 훼손되어 교체가 시급하다.
개선방안
1.게양전 태극기 전수 검수제도 시행
2.훼손된 태극기 발견시 제보 이벤트 실시(타 지자체시행)
기대효과
1. 훼손된 태극기 게양 사전 예방
2. 도민들의 태극기 관심도 증가
3. 관리의 효율화 향상",2022-07-17,"1. 안녕하십니까?
귀하께서 국민신문고를 통해 신청하신 제안 1AB-2207-0021427에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 제안내용은 ""NK세포 활성도 검사 지원""에 관한 것으로 이해 됩니다.

3. 귀하의 제안내용에 대해 검토한 의견은 다음과 같습니다.
가. “NK세포 활성도 검사(정밀면역검사)”는 22년 3월 보건복지부 건강보험정책심의위원회 적합성평가 결과 유효성이 불분명하다고 판단되었으며, 이를 바탕으로 보건소에서 지역주민의 면역력을 수치화하여 제공하는 것은 그 효과성이 미비할 것으로 예상되어 귀하의 제안을 불채택하게 되었음을 안내드립니다.
나. 해당 검사는 필요시 기존 검진기관 등에서 실시할 수 있으며, 면역력 유지 및 활성화를 위해서는 충분한 수면, 식이, 운동 등 건강생활실천이 가장 중요합니다.
다. 저희 보건소에서는 이를 위하여 “모바일 헬스케어사업” 등 건강생활실천 사업을 운영하여 건강위험요인(혈압, 혈당, 중성지방 등) 등이 있는 대상자에게 검진, 상담, 교육 등을 제공하여 지속 관리하는 사업을 운영하고 있으니 참고 바랍니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 제주보건소 보건행정팀 최현철(☏064-728-4022))에게 연락주시면 친절히 안내하여 드리겠습니다. 감사합니다. 끝.",심사 중,서귀포시,제안심사
,버스기사도 모르는 노선버스 승강장(모르니 당연히 않세워줌),"현황 및 문제점
서귀포시 동광육거리와 신화월드 입구사이 삼밭구석 버스 정류장있다.
여기에는 어떤 표지도 하나 없어 이용자와 버스기사들도 모르는 버스 정류장이 있다.
여기에서는 버스를 탈려고 손을 들어도 버스를 세우지 않고 가버린다.
개선방안
버스정류장 표지 설치
버스내 안내방송에 추가
정류장 신설시 정류소 표지, 차량내 안내방송등 먼저 시행 개선
기대효과
버스기사 혼선방지
이용자 불편해소",2022-07-16,"귀하께서 건의하신 버스정류소 시설과 관련하여 답변드리겠습니다.
우리 도에서는 대중교통시설물인 버스정류소를 시 교통행정과와 함께 관리하고 있습니다.
건의하신 안덕면 삼밭구석 입구 버스정류소에 대해 확인결과 당초 계획인 7월 15일 보다 다소 늦어진 7월 19일 표지판 설치를 완료하였음을 알려드립니다.
이용에 불편을 드려 죄송합니다.
더 궁금한 사항이 있으시면 도청 대중교통과(710-4325) 및 서귀포시청 교통행정과(760-3234)로 문의해주시면 친절히 안내해드리겠습니다. 감사합니다.",2022-07-27,제주특별자치도,답변완료
,동광환승 정류장 최종 목적지 표지,"현황 및 문제점
서귀포시 안덕면 동광 화승정류장은 6개의 정류소(정류소 마다 숫자로 표기)로 이루어져 있다.
그러므로 길을 잘모르거나 관광객들이 정류소 이용에 복잡하고 혼선 이 생기고 있다.
개선방안
정류소 번호옆 큰글자로 최종 목적지 표시 시인성 및 편리성 방향성 확보 방안 제안
예시)
1번: 종점
2번: 모슬포방향
3번: 제주시 방향
기대효과
복잡한 노선도 대체 쉽게 목적지 인식 및 확인 가능
이용자의 편리성, 시인성, 방향성(목적지 방향) 제공
안내용 글자의 쉬운 제작, 즉시 시행 가능",2022-07-15,"귀하께서 건의하신 버스정류소 시설과 관련하여 답변드리겠습니다.
우리 도에서는 대중교통시설물인 버스정류소를 시 교통행정과와 함께 관리하고 있습니다.
건의하신 안덕면 동광환승정류소는 대중교통 이용자의 시인성 개선을 위해 정류소마다 별도 번호를 부여해 정류소 벽면에 번호를 부착하여 운영하고 있음을 알려드립니다.
더 궁금한 사항이 있으시면 도청 대중교통과(710-4325) 및 서귀포시청 교통행정과(760-3234)로 문의해주시면 친절히 안내해드리겠습니다. 감사합니다.",2022-07-27,제주특별자치도,답변완료
,비규격 감귤의 제주도 외 유통 허용,"현황 및 문제점
제주도는 감귤을 크기에 따라 분류하고, 기준 크기 이외 감귤(지름 기준 49mm 미만 또는 70mm 초과)의 제주도 밖 유통을 금지
(제주특별자치도 감귤생산 및 유통에 관한 조례 제20조)

개선방안
당도가 높은 고품질 감귤(10브릭스 이상)에 대해서는 크기와 상관없이 유통 전면 허용
기대효과
당도가 높은 고품질 감귤(10브릭스 이상)에 대해서는 크기와 상관없이 유통 전면 허용되므로 우리의
유형효과를 크게 기대가 된다.",2022-07-11,"국민신문고 답변

제주도정과 감귤산업 발전에 많은 관심을 가져주셔서 진심으로 감사의 말씀을 드립니다.

귀하께서 제안하신 『당도가 높은 고품질 감귤(10브릭스 이상)에 대해서는 크기와 상관없이 유통 전면 허용』 해달라는 의견에 대하여 답변을 드리겠습니다.

제주특별자치도에서는 『제주특별자치도 감귤 생산 및 유통에 관한 조례』 시행규칙 제18조 제4항에 감귤 품질기준을 마련하였고, 위 상품 규격 기준에도 불구하고 당도 10브릭스 이상인 온주밀감은 감귤출하연합회와 협의하여 고시하게 되어 있어

매년 9월 그해 노지감귤 생육상황(크기, 품질, 산지 및 시장상황)등을 고려하여 감귤출하연합회 전체회의*를 통해 『상품감귤 품질기준』을 고시하여 유통 처리해 나가고 있습니다.
* 33개기관 36명 구성(행정, 도의회, 생산자단체, 가공업체, 농업인단체, 학계 등)

산지 유통센터의 전체적인 당도선별 능력이 확보되지 않은 상황에서 크기와 상관없이 10브릭스 이상 감귤의 유통허용시 당도선별과 관련하여 산지 유통의 혼란이 야기될 수 밖에 없습니다.

귀하께서 제안해 주신『당도가 높은 고품질 감귤(10브릭스 이상)에 대해서는 크기와 상관없이 유통 전면 허용』은 현시점에서 바로 시행하기에는 현실적으로 어려움이 많다고 사료됩니다.

제주 감귤산업에 대한 관심을 가져주신데 대하여 감사를 드리오며, 앞으로도 많은 의견과 조언을 부탁드립니다.
그 밖에 자세한 문의사항이 있으시면 제주특별자치도 감귤진흥과 감귤유통팀(064-710-3273)으로 전화주시면 성실하게 답변드리겠습니다.

감사합니다. 끝.",2022-07-28,제주특별자치도,답변완료
,소비자 직거래 감귤(택배판매)에 대한 신고·검사제 개선,"현황 및 문제점

제주도는 감귤을 도외로 유통하기 위해서는 출하연합회 신고와 품질검사원의 검사 의무화
(제주특별자치도 감귤생산 및 유통에 관한 조례 제20조)

개선방안
생산자-소비자간 택배로 배송되는 직거래 감귤에 대해서는 원칙적으로 신고 검사의무 면제
기대효과
생산자-소비자간 택배로 배송되는 직거래 감귤에 대해서는 원칙적으로 신고 검사의무 면제가 되므로 우리의 유형효과를 기대한다.",2022-07-11,"국민신문고 답변


제주도정과 감귤산업 발전에 많은 관심을 가져주셔서 진심으로 감사의 말씀을 드립니다.

귀하께서 제안하신 『소비자 직거래 감귤(택배판매)에 대한 신고 검사제 개선』 의견에 대하여 답변을 드리겠습니다.

제주특별자치도에서는 소비자가 선호하는 맛있는 감귤을 생산·공급하여 소비자와 생산자가 서로 상생할 수 있는 감귤 산업 육성을 위해 『제주특별자치도 감귤 생산 및 유통에 관한 조례』를 제정하여 감귤 품질향상을 위해 다양한 노력을 기울이고 있다는 말씀을 드립니다.

소비자의 온라인 구매패턴에 대응하여 2017년 『감귤 생산 및 유통에 관한 조례』 제20조 제2항을 개정하여 1인 1일 300kg 이하의 감귤(1인1일 60상자/5kg)을 도외 반출하는 경우에는 출하신고 규정을 적용받지 않도록 완화하였습니다.

최근 코로나19 확산으로 인해 감귤 직거래 물량이 증가하면서 상품 감귤 품질에 대한 소비자 불만도 증가하고 있어 어느 때 보다 직거래(택배) 물량 품질검사의 중요성이 대두되고 있는 실정입니다.
※ 택배물량 증가 (14년산) 55,555톤, (16년산) 77,920톤, (18년산) 102,439톤, (20년산) 130,529톤

귀하께서 제안해 주신 『생산자-소비자 간 택배로 배송되는 직거래 감귤에 대해서는 원칙적으로 신고 검사의무 면제』 건은 1일 출하량 한도를 정하여 신고 검사의무 면제를 일부 허용하고 있습니다

다만, 상품 감귤 품질을 직접 확인할 수 없는 온라인 직거래 특성상 직거래 물량을 전량 신고 검사 의무를 면제할 경우, 감귤 품질에 대한 신뢰도 하락은 물론 규격외 감귤 유통으로 인하여 소비자와 생산자 모두에 피해가 예상되는 바, 현실적으로 적용 하는 데에는 어려움이 많다고 사료됩니다.

이 점 널리 양해하여 주시기 바랍니다.

다시 한번, 제주 감귤산업에 대한 관심을 가져주신데 대하여 감사를 드리오며, 앞으로도 많은 의견과 조언을 부탁드립니다.

그 밖에 자세한 문의사항이 있으시면 제주특별자치도 감귤진흥과 감귤유통팀(064-710-3273)으로 전화주시면 성실하게 답변드리겠습니다.

감사합니다. 끝.",2022-07-28,제주특별자치도,답변완료
,환경보전기여금 도입에 대한 부정적 여론 완화 방안,"현황 및 문제점
(부정적 여론)
환경보전기여금이라는 제도 자체가 우리국민에게는 생소하다 보니,
관광객들이 추가로 지불해야 하는 비용이라는 측면에서 부정적 여론이 있을 수 있음.
또한 제주는 높은 여행경비의 관광지로 인식되고 있는데, 환경보전기여금까지 더해 더욱 이미지가 악화될 수 있음.
(혜택 고려)
이에 관광객들이 환경보전기여금 납부시 이에 상응하는 혜택도 같이 고려할 필요가 있음.
개선방안
(제주도 관할 입장료 무료화)
주상절리, 만장굴, 비자림 등 제주도에서 관할하는 자연생태관광지의 입장료를 전면 무료화.
기대효과
(부정적 여론 완화)
관광객 입장에서 환경보전기여금을 내더라도 자연생태관광지 입장료가 무료화 되면,
오히려 더 긍정적으로 볼 수 있음
(예산절감)
민간관광지에 비해 입장료가 저렴한 자연생태관광지는 그 수입 대비 관리인건비 비율이 높아, 무료화로 인한 관리비 예산절감이 예상됨
(추가검토)
다만 기존의 자연생태관광지의 순수입*을 고려하여 적정 환경보전기여금 산정 필요
*순수입 : 전체입장료 - 무료화로 절감되는 관리비",2022-07-11,"제주시 주르네남길 오oo 님의 제안(환경보전기여금 도입에 대한 부정적 여론 완화 방안)에 대해 심사하고 업무에 철저를 기하겠습니다.

□ 제안개요
○ 제안명: 환경보전기여금 도입에 대한 부정적 여론 완화 방안
○ 제안내용; 부정적 여론을 완화하기 위한 방안으로 제주도 관할 관광지(주상절리, 만장굴, 비자림 등 자연생태관광지)의 입장료 전면 무료화
□ 제안심사
○ 채택여부: 불채택(단순 검토)
○ 답변내용
- 환경보전기여금 도입에 대한 부정적 여론 완화 방안으로 ""제주도 관할 관광지 등 입장료 무료화""는 환경보전기여금 참여 인센티브로 검토는 가능함.
- 그러나 환경보전기여금 제도 도입으로 도내 자연생태관광지 입장료가 무료화 되면 더 많은 관광객들이 방문할 것이고 그에 따른 훼손은 심화되어 기존보다 더 많은 환경처리(복구)비용을 필요로 할 것이며,
- 입장료 무료화는 방문객의 증가(오버튜어리즘)와 더불어 관리비의 증가로 이어져 부정적으로 작용될 수도 있을 것임.
- 제주 한라수목원의 입장료가 무료라 많은 관광객들의 방문으로 인건비, 관리비 등 많은 재정이 투입되고 있으나 수입은 주차료를 제외하고는 없는 상태이며,
- 현재 성산일출봉 정도를 제외하고는 제주도 소관 자연생태관광지 입장료는 관리비용 충당에 한참 못미치고 있는 상태라 ""자연생태관광지""입장료 전면 무료화는 오히려 더 많은 금액의 환경보전기여금의 부과를 초래할 수도 있을 것임. ""끝""",2022-09-26,제주특별자치도,답변완료
