제목,날짜,내용,발행사,링크
"칠곡군 드림스타트, ‘오감만족 딸기! 자연체험활동’ 프로그램 운영",2023-04-25 13:28:28+00:00,"칠곡군 드림스타트는 사례관리 중인 아동 및 부모 70명을 대상으로 지난 22일 약목면 소재 딸기농장에서 ‘오감만족 딸기! 자연체험활동’ 프로그램을 진행했다.이번 프로그램은 그동안 코로나 19로 야외활동에 어려움이 있었던 드림스타트 대상 가정에게 자연체험 활동의 기회를 제공해 가족 간 추억을 쌓고 아동에게 정서적 안정감을 제공하기 위한 행사로 딸기 수확하기, 딸기 카나페 만들기 등으로 진행됐다.특히, 이날 행사는 드림스타트 대상 아동 중에서도 10세 이하의 어린 아동들이 참여한 체험활동으로, 쉽게 접할 수 있는 제철인 딸기의 생육 과정부터 딸기를 이용한 가공요리까지 직접 만져보고 만들어보면서 오감을 자극해 아동들에게 큰 호응을 얻었다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389374
"칠곡도서관, 2023년 미래 교육 학부모 아카데미 개강",2023-04-25 11:32:20+00:00,"칠곡도서관은 지난 21일 ‘2023년 미래 교육 학부모 아카데미’를 시작했다. 이번 미래 교육 학부모 아카데미는 ‘4차 산업혁명 시대 안목을 넓히고 선택의 힘을 기를 수 있는 학부모 역량 강화’를 주제로 오는 6월 16일까지 총 8회에 걸쳐 진행한다.이번 특강의 내용은 온 작품 읽기, 그림책 상담소, 질문 독서법, 한국화 이해하기, 세계지도 읽기, 자녀의 성교육, 비경쟁 독서토론, 자녀와의 감성 소통 방법의 내용으로 운영한다. 지난해 미래 교육 학부모 아카데미 참여자들은 ‘학부모 동아리’ 조직과 참여를 통해 그림책 출판과 강사로 활동을 시작, 책 읽어주는 재능기부에 적극적으로 참여해 지역의 나눔 문화를 확산시키는 데 선도적 역할을 하고 있다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389339
"칠곡군, `화재없는 안전마을` 주택용 소방시설 기증",2023-04-24 10:53:38+00:00,"칠곡군은 지난 19일 지천면 달서리에서 주택용 소방시설(단독경보형감지기, 소화기) 기증 행사를 가졌다. 이번 기증식은 소방서와 원거리에 위치해 골든타임 7분을 넘는 화재취약마을에 소화기 712개, 단독경보험 감지기 1272개를 지원해 화재로 인한 인명피해 저감을 위한 시책으로 칠곡소방서(서장 민병관)와의 협조를 통해 추진됐다. 주택용 소방시설은 소방서 원거리 마을을 포함해 700여 가구에 보급될 예정이며 사업완료된 보이는 소화기를 비롯해, 화재로 인한 사회적 손실을 선제적으로 예방하고 인명피해를 최소하고자 주택용 소방시설을 설치했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389172
"칠곡군, 지방세정 종합평가 최우수 수상",2023-04-23 11:35:57+00:00,"칠곡군은 지난 21일 경북도에서 23개 시군을 대상으로 실시한 2023년 지방세정 종합평가에서 최우수로 선정됐다.특히 지난해 12월에 지방세외수입 운영실적 분석 진단 우수기초단체로 선정된 데 이어 이번 평가에서 최우수상을 수상하는 쾌거를 거두었다. 이번 평가분야는 현년도 지방세 징수실적, 지방세 체납액 징수실적, 지방세수 확충실적, 세정운영 기반조성 등 4개 분야로 칠곡군은 모든 분야에서 상위점수의 평가를 받았다. 특히 카카오톡을 이용한 지방세 납기내 알림 홍보 활동 강화로 주민들의 가산세 부담을 낮추는 동시에 납기내 징수율을 제고하고 비과세 공공용 토지 재산세 대장 일제정비, 고액체납자 맞춤형 책임징수제 운영, 체납된 신탁재산 일제조사 등 다양한 특수시책을 세정업무에 활용해 큰 성과를 거둔 것이 높은 점수를 받았다.또 세무종합민원실에서 지방세 신고, 상담, 납부 등의 원스톱처리로 한층 더 신속하고 편리한 세정서비스 제공하고, 성실납세자 250명을 선정해 표창·칠곡사랑상품권 전달, 공영주차장 무료이용권 지급 등 혜택을 제공해 군민들의 자긍심을 높이는 등 적극적이고 친절한 세무행정을 펼친 결과이다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389094
"칠곡군, 신속집행 ‘1분기 소비투자분야 ’최우수기관 선정",2023-04-23 11:21:36+00:00,칠곡군이 올해 경북도 주관 ‘1분기 신속집행 소비투자분야 평가’에서 최우수기관으로 선정됐다. 목표액 대비 집행률 기준으로는 전국 1위를 차지하는 쾌거를 이뤘다. 칠곡군은 부군수를 단장으로 신속집행 추진단을 구성해 발 빠르게 1월부터 부서를 대상으로 소비투자 보고회 등 3번의 자체점검회의를 개최하고 5천만원 이상 투자사업은 관리카드를 통해 집행률을 관리했다. 또 겨울철 공사 정지로 집행이 부진했던 대규모 투자사업은 사업 담당자와 유기적인 협조를 통해 기성금과 선금을 최대한 집행했다. 이러한 노력을 통해 칠곡군은 행안부에서 제시한 1분기 소비투자 목표액 514억원 보다 무려 231억원 많은 745억 원을 집행해 집행률 144.85%를 달성했다.한편 칠곡군은 경북도 주관 지방재정 신속집행 ‘1분기 소비투자’ 평가에서 작년에 이어 2년 연속 최우수기관을 수상했다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=389092
"칠곡군보건소, 토리호이 숲태교 프로그램 운영",2023-04-23 11:15:35+00:00,"칠곡군은 지난 21일 임부를 대상으로 국립칠곡숲체원에서 숲태교프로그램을 실시했다. 이번 프로그램은 칠곡군보건소와 국립칠곡숲체원이 함께 연계해 숲 산책, 공예, 가족사진찍기 및 요가 등 활동을 하면서 아이와 건강한 애착관계를 형성하고, 예비부모들의 심리적, 정서적 안정을 도모하고자 마련됐다. 이번 프로그램 참여자들은 “야외 활동하기에 좋은 계절에 실내 및 숲에서 프로그램을 체험하며 건강한 태교가 되는 기분이었다”며, 참여소감을 밝혔다.권정희 칠곡군보건소장은 “앞으로도 보건소에서는 부모 및 예비부모들에게 정서적으로 도움을 드릴 수 있는 다양한 프로그램을 마련해 맞춤형 서비스를 제공하겠다”라고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389091
"칠곡군보건소, ‘경로당에 한방?있다’ 프로그램 운영",2023-04-22 20:03:16+00:00,"칠곡군은 지난 18일부터 오는 6월 2일까지 8개 경로당에서 찾아가는 한의약건강증진 프로그램을 주1회 운영해 다수의 주민을 대상으로 근골격계 통증완화 및 기능관리 등 다양한 보건의료서비스를 제공한다.사업 시작 전 3월에 20개 경로당 144명에게 실시한 사전 설문조사에서 지역주민이 원하는 건강관리 분야는 ‘근골격계질환 관리’가 65%의 응답률로 가장 높았고, 2위인 ‘만성질환 관리’ 응답률(20%)보다 월등히 높게 나타났다. 이에 칠곡군보건소에서는 근골격계질환 관리를 위한 교육과 침술, 면역력을 높여주는 한약재 체험 등을 제공하고, 자가관리에도 도움을 주고자 한다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389028
"경북기계명장고, 금연 선포식 개최",2023-04-21 22:58:05+00:00,"경북기계명장고등학교는 명장관 다목적 강당에서 전교생과 전교직원이 모인 가운데 금연 실천을 다짐하는 금연 선포식을 가졌다. 이날 대표 학생의 선서를 통해 학우들과 금연에 대해 다시 한 번 생각하고 금연 의지를 굳건히 해 선포식 후 학생 참여형 금연 드라마식 흡연예방 특강을 통해 흡연의 폐해와 이를 예방하는 방법에 대해 생각해보는 계기를 마련했다. 전자담배 등 신종담배 출현으로 호기심 많은 청소년들이 쉽게 담배를 접할 수 있는 상황에 경북기계명장고등학교에서는 흡연학생들에게 적극적인 금연서비스를 지원하기 위해 2023년 학교흡연예방사업 심화형을 운영한다. 학생 및 교직원의 흡연 실태조사를 시작으로 학생 흡연율을 감소시키기 위해 영남대학교 대구금연지원센터와 연계해 찾아가는 금연 서비스를 4월부터 6개월 동안 6회기 프로그램을 진행하고 학교 보건실 금연상담실도 연중 운영해 흡연 학생을 관리하고 있다. 더불어 스포츠 활동에 대한 흥미를 유발하고 흡연 욕구를 감소시키기 위해 매월 1회 칠곡군 북삼인평공원에서 진행하는 ‘노담 축구’ 스포츠 활동과 학교 헬스장을 상시 운영해서 학생들의 체력증진을 도모하고, 2학기에는 ‘노담 피지컬 명장인 선발대회’를 계획하는 등 여러 가지 특화사업을 운영한다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388998
"칠곡소방서, 봄철 산림화재 예방 안전대책 당부",2023-04-21 22:01:35+00:00,"칠곡소방서는 봄철 건조한 날씨와 강한 바람으로 산림화재 위험이 증가함에 따라 산불예방을 당부한다고 23일 밝혔다. 산림청 자료에 따르면, 연간 산불의 대부분은 봄철에 발생해 시간대는 오후 2시~6시, 원인으로는 입산자 실화로인한 발생이 가장 많은 비중을 차지했다.산불을 예방하기 위해서 입산객 및 군민들은 ▲산림 주변 논·밭두렁 또는 쓰레기 소각 금지 ▲입산 시 라이터, 버너 등 인화성 물질 소지 금지 ▲산행 전 등산로 통제·폐쇄 여부 확인 등의 안전수칙을 준수하여야 하며 산불을 발견했을 경우 소방서 등 유관기관에 빠르게 신고하면 된다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388997
"국립칠곡숲체원, 대구‧경북 유아숲교육업과 소통 간담회 개최",2023-04-20 11:15:47+00:00,국립칠곡숲체원은 지난 19일 조영순 숲체원장 주재로 대구‧경북 지역 유아숲교육업과의 상생 발전을 위한 소통 간담회를 개최했다.유아숲교육업은 ‘유아가 산림교육을 통해 정서를 함양하고 전인적으로 성장할 수 있도록 교육하는 사업’으로 산림복지서비스 제공을 영업의 수단으로 하는 산림복지전문업의 일환이다. 올해 3월 기준으로 전체 산림복지전문업 1185건 중 39%가 유아숲교육업으로 등록돼 대구‧경북 지역에는 43개 업체가 활동하고 있다.이날 간담회에는 대구‧경북 지역 내 유아숲교육업 8개 업체 대표와 관계자 등 30여 명이 참석해 ▲유아숲교육 분야 상생발전을 위한 숲관광 상품 공동개발 ▲산림복지시설 공유‧개방 통한 활동공간 지원 ▲산림복지전문업 프로그램 인증 지원 ▲산림복지전문업 상품고도화 및 판로 지원 ▲민관 협업을 위한 인력 네트워크 구축 등에 대해 논의를 했다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=388795
"칠곡군 가산면, 곡4리 힐링나무 심기 행사",2023-04-20 10:26:23+00:00,"칠곡군 가산면은 지난 18일 `곡4리 힐링나무 심기 행사`를 성황리에 마무리 했다고 밝혔다.이날 칠곡군수, 기관단체장, 이장협의회, 새마을지도자회 등 100여 명이 참가해 곡사리 일원과 가산 1리, 가산2리, 응추리, 용수리 등 총 120그루를 식재, 향후 더 많은 나무를 심어 곡4리 일원에 소규모 공원을 구성할 예정이다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388764
"칠곡군청소년문화의집, 학교밖 청소년 `이런직업! 베이킹 클래스` 운영",2023-04-20 10:13:38+00:00,"칠곡군 청소년문화의집은 지난 18일 학교밖청소년지원센터 청소년을 대상으로 진로체험 프로그램을 운영해 참가자들로부터 호평을 받았다. `이런직업! 베이킹 클래스 란 프로그램`으로 진행된 이날 과정은 베이킹 체험을 통해 학교밖 청소년들의 자기 효능감과 자립 역량을 높이고 진로 설계에 실질적 도움을 주고자 마련됐다. 칠곡군청소년문화의집 배가혜 청소년지도사는 ""청소년들이 진로적성 탐색을 통해 꿈을 키워 나갈 수 있는 다양한 프로그램 개발에 최선을 다하겠다""고 전했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388761
"칠곡군장애인종합복지관, 장애인의 날 기념 `따뜻한 한끼나눔` 진행",2023-04-20 10:07:45+00:00,칠곡군장애인종합복지관(관장 김영식)은 본관 식당에서 지역 내 장애인 및 보호자 200명을 대상으로 ‘장애인의 날 기념 따뜻한 한끼나눔’ 행사를 진행했다고 20일 밝혔다. 이번 행사는 제43회 장애인의 날을 기념해 칠곡군 지역 내 후원협회에서 마련한 `따뜻한 한끼나눔`을 통해 지역주민과 지역 내 장애인 모두가 장애인의 날을 기억하길 바라는 마음으로 마련됐다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=388759
"칠곡군-한국관광공사, 관광두레사업 업무협약 체결",2023-04-19 12:47:50+00:00,"칠곡군은 지난 18일 주민주도형 관광활성화를 위해 한국관광공사와 관광두레 사업 업무에 대한 협약을 체결하고 관광두레 주민사업체 모집 설명회를 개최했다.관광두레사업은 지역 주민들이 직접 지역 고유의 특색을 지닌 숙박·식음·여행·체험·기념품 등 관광사업체를 창업하고 육성하도록 지원하는 사업이다.이번 협약을 통해 칠곡군은 관광두레 PD 활동 및 관광두레 사업 추진에 따른 행정적 지원을 추진하며, 한국관광공사는 지역주민 주도형 관광사업 확산, 주민사업체 역량 강화를 통한 관광두레 홍보마케팅 지원, 일자리 창출, 군내 관광자원 성장을 위한 체계적 지원 등을 수행하게 된다.관광두레 사업에 참여를 희망하는 주민사업체는 오는 27일까지 관광두레 누리집을 통해 신청서를 접수하면 된다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388634
"칠곡군, 숏폼 영상 공모전 개최",2023-04-19 10:27:04+00:00,"칠곡군은 이달 17일부터 5월 16일까지 1분 가량의 숏폼(짧은 영상)으로 칠곡군의 매력을 알릴 수 있는 ‘칠곡군 숏폼 영상 공모전’을 개최한다.공모전은 칠곡군에 대한 관심과 방문을 유도해 군의 다양한 가치를 발굴하고 주민과의 다방향 소통을 활성화하기 위해 마련됐다.나이와 거주지 제한 없이 개인 또는 팀으로 참여할 수 있으며 패러디, 브이로그, 다큐멘터리 등 자유 형식으로 군정·문화·관광 등 칠곡군의 매력을 알릴 수 있는 어떤 주제든지 출품 가능하다.참가 신청은 오는 5월 16일까지이며, 칠곡군 홈페이지와 블로그에서 관련 서류를 다운받아 메일로 제출하면 된다.응모작 중 수상작 5점을 선정해 최우수 1명(팀) 100만원, 우수 2명(팀) 각 50만원, 장려 2명(팀) 각 30만원을 시상할 계획이다. 당선작은 5월 30일 칠곡군 홈페이지 및 SNS를 통해 발표될 예정이다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388596
"칠곡경찰서, 찾아가는 보이스피싱·교통사고 교육 `큰 호응`",2023-04-18 14:08:13+00:00,"칠곡경찰서의 ‘찾아가는 보이스피싱·교통사고 교육’이 피해 예방에 한 몫을 하면서 지역 주민들로부터 좋은 반응을 얻고 있다.찾아가는 보이스피싱·교통안전 교육은 칠곡서 관내에서 발행한 피해사례를 위주로 진행되며 기관사칭, 대출사기 등 피해사례 및 피해 영상을 보여주는 방식으로 지역 주민들에게 위험성에 대해 예방대책에 따른 홍보 활동을 대대적으로 전개한다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388463
"칠곡군보건소, 찾아가는 청년고민상담소 운영",2023-04-18 14:07:06+00:00,"칠곡군보건소 정신건강복지센터는 지난 13일 대구예술대학교에서 대학생 등 청년들을 대상으로 더 청춘 플러스 사업과 연계해 찾아가는 청년고민상담소를 운영했다.청년고민상담소는 청년들에게 외로움, 우울감을 완화하고 심리적 회복탄력성을 증진시키기 위해 홍보관, 정신건강체험관, 고민상담관, 스트레스 해소관, 소통관 등 5가지 정신건강 콘텐츠관으로 운영됐다.주요 체험활동으로는 정신건강 가로세로 퀴즈풀기, 긍정메시지 트리꾸미기, 고민카드 작성해 우체통에 넣기, 싱잉볼 명상 등 다양한 프로그램을 운영했으며, 친구들과 소통하고 휴식을 취할 수 있도록 음료를 제공하고 힐링 공간을 마련해 주었다. 특히 찾아가는 청년고민상담소는 청년들의 이야기를 듣고 상담 및 스트레스 해소 활동을 지원함으로써 정신건강 증진에 도움을 주어, 운영프로그램 중 특히 싱잉볼을 활용한 심신안정클래스 참여 학생들의 호응이 좋았다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388461
"칠곡군, 지방세 체납액 일제정리 기간 운영",2023-04-18 14:03:46+00:00,"칠곡군은 체납없는 칠곡군을 만들기 위해 오는 6월 12일까지 지방세 체납액 일제정리 기간을 운영한다.지난해 칠곡군의 이월체납액 징수실적은 징수율 61.8%(도 평균33.8%) 31억2천만원으로 도내 1위의 우수한 성과를 거두었다.칠곡군의 올해초 기준 체납액은 50억7천만원으로 이월체납액의 60%(30억4200만원)이상 정리를 목표로 하고 있다.이를 위해 체납세 정리단을 구성하고, 고액체납자 책임징수제를 시행해 강력한 징수 활동을 펼칠 계획이다.특히 상습 체납자에 대한 강력한 체납처분 및 행정제재, 자동차세 체납차량 일제정리를 추진하고, 체납사실을 인지하지 못하는 소액 체납자에 대해서는 지방세 납세지원콜센터 운영을 통해 체납세를 징수할 계획이다.한편으로는 납부 의지 있는 영세기업․서민 체납자에 대해서는 생계형 자동차등 번호판 영치를 유예하고 관허사업제한을 유보해 납세자가 공감하는 방향으로 체납세를 징수할 계획이다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388456
"(사)한국농아인협회 칠곡군지회, 제8회 칠곡군장애인의 날 축제한마당 개최",2023-04-18 14:00:42+00:00,"사)한국농아인협회 경북협회 칠곡군지회(회장 곽승호)는 `제8회 칠곡군 장애인의 날 기념식 및 축제한마당`을 지난 15일 칠곡국민체육센터에서 개최했다.칠곡군장애인단체연합회(농아, 부모회 , 교통, 시각, 지체)가 주관하며, 사회복지법인 행복한 사람들(대표 김창연)이 후원해 칠곡군장애인의 날 행사를 마련했다.이날 행사에 김재욱 칠곡군수를 비롯해 심청보 칠곡군 의장, 군, 도의원, 농협중앙회칠곡지부장, 장애인부모회 칠곡군지부장, 교통장애인협회 칠곡군지회장, 시각장애인연합회 칠곡군지회장, 지체장애인협회 칠곡군지회장 등 장애인단체 회원, 가족, 후원자, 자원봉사자 등 600여 명이 참석했다.행사는 장애인의 재활 의욕과 복지증진 계기를 위한 한마음 축제로 마련됐다. 1~2부로 나뉘어 식전행사로 특히 칠곡군장애인 회원들로 구성된 룹사운드 ‘꿈 나비 밴드’ 멋진 공연을 펄쳐 장애인의 날을 맞이해 흥겨운 무대를 장식했다. 행사주간단체인 (사)한국농아인협회 경북협회 칠곡군지회 곽승호 회장이 대회사와 김재욱 군수 기념사, 정희용 국회의원 기념 축사 등으로 칠곡군장애인의 날을 맞이해 감사의 뜻을 표했다. 이어 장애인 권익향상과 복지증진에 공이 큰 유공자 23명 중, 특히(사)한국농아인협회 경북협회 군지회 김현주씨 외 4명이 지역구 정희용 국회의원 표창장을 수여 받았다. 그밖에 김재욱 칠곡군수와 심청보 칠곡군의회, 교육장 등이 표창패를 수여했다. 이어 지역 내 중, 고등 장학생 5명에게 표창과 장학금 각각 50만원을 전달했다.2부 행사는, 많은 지역 사회단체의 후원과 관심으로 장애·비장애를 넘어 모두가 하나 되는 깜짝 마술쇼 공연과 장애인 참석자에게 선풍기, 친환경쌀 등 경품추첨을 통해 푸짐한 상품이 주어지고 행사로 마무리 됐다. 곽승호 회장은(한국농아인협회 경북협회 칠곡군지회) ""장애인 당사자들이 주인이 되어 서로에게 힘이 되고 응원이 돼 주는 날로 기억되길 바란다""며, ""오늘 3無(내빈실, 앞자리내빈석, 내빈코사지), 3有(관심, 용기, 변화)로 행사를 진행했다""고 밝혔다. 특히 김재욱 칠곡군수는 “앞으로도 장애인의 복지와 권익향상 증진을 위해 최선을 다하겠다""며, "" 오늘 행사를 통해 장애인과 비장애인이 더불어 살아가는 행복한 사회를 만들어가는 계기가 되길 바란다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388455
[동정] 김재욱 칠곡군수,2023-04-17 13:04:34+00:00,김재욱 칠곡군수는 18일 오전 9시 왜관읍삼청리 일원에 첫 모내기 농가 방문을 한다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=388311
"국립칠곡숲체원, 장애인 인식개선 위한 무장애나눔길 걷기 행사 개최",2023-04-17 12:39:49+00:00,"국립칠곡숲체원은 제43회 장애인의 날을 맞아 이달 17일부터 오는 21일까지 방문고객을 대상으로 ‘우리함께 다누리길’ 행사를 개최한다. 이번 행사는 장애인의 날 주간동안 국립칠곡숲체원 내 조성된 무장애나눔길인 ‘다누리길’을 걸으며 참여하는 행사로, 장애인 인식개선과 사회 취약계층 복지 증진을 위해 마련됐다. 주요 내용은 행사기간동안 방문하는 단체고객을 대상으로 산림교육 프로그램 운영 시, 장애 간접체험과 인식개선 교육, 장애인 편의시설 사진 찍기 등의 활동을 추가 운영하고, 개인고객을 대상으로 SNS 이벤트를 실시해 기념품을 증정한다. 국립칠곡숲체원의 봄철 전경과 장애인 편의를 위해 조성된 다누리길 등을 찍어 개인 SNS에 ‘#국립칠곡숲체원’, ‘#장애인의날’, ‘#우리함께다누리길’ 등의 해시태그와 함께 게시해 인증하면 행사 기념품을 받을 수 있다. 또한, 다누리길에는 국립칠곡숲체원의 자생 식물을 소개하는 안내판뿐만 아니라, 영화 ‘칠곡가시나들’의 시화 작품, 탄소중립과 환경보호의 중요성을 알려주는 ‘고래를 삼킨 바다쓰레기’ 도서 원화 작품 등이 전시돼있어 숲길의 볼거리를 더한다.이번 행사를 통해 국립칠곡숲체원은 장애인도 공평한 복지를 누릴 수 있도록 보편적 산림복지서비스를 제공하는 국가산림교육센터로 역할을 다하여, 대국민 장애인 인식개선 전파에 기여할 수 있을 것으로 기대된다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388305
"칠곡군, 2023년도 민방위 사이버교육 실시",2023-04-17 12:34:32+00:00,"칠곡군은 이달 18일부터 6월 30일까지 민방위교육 지침 변경에 따라 사이버교육을 실시한다이번 교육 대상자는 3년차 이상의 지역 및 직장 민방위대원이며, 1~2년차 대원은 집합교육으로 5월중 추진할 예정이다. 특히 교육은 민방위 대원의 임무와 역할, 화생방 대처요령, 심폐소생술, 국민생활 안전 행동요령 등이다. 3~4년차 대원은 사이버교육 2시간, 5년차 이상은 사이버교육 1시간 수강 후 소정의 객관식 평가를 거치면 이수가 가능하다.수강방법은 PC 또는 스마트폰을 이용해 민방위사이버교육센터 접속한 뒤 본인 인증을 거치면 수강이 가능하다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388303
"칠곡군 교육문화회관, 청소년 공모사업 잇따라 선정",2023-04-16 12:49:51+00:00,"칠곡군 교육문화회관은 문화체육관광부 및 교육부와 현대자동차 협업 공모사업을 신청, 잇따라 선정되는 성과를 거뒀다고 16일 밝혔다.문화체육관광부에서 공모 선정된 사업은 2023 문예회관 문화예술교육프로그램 지원으로 지역의 초등, 중등 청소년들에게 음악, 미술, 연극 분야의 감상 및 체험 융합 교육 프로그램을 제공 청소년들의 문화예술 향유 기회를 확대하고자 한다.교육부와 현대자동차가 협업해 공모 선정된 사업은 현대자동차와 함께 꿈을 키우는 `미래 자동차 학교`로, 교육문화회관 방과후아카데미 학생들을 대상으로 모빌리티 분야 기술 등의 진로프로그램 체험을 제공해, 미래의 직업을 탐색, 성장 할 수 있는 기회를 갖도록 하기 위한 목적으로 만들어졌다.교육문화회관 청소년 관계자는 “지역 청소년들에게 다양한 체험 제공을 위해 프로그램 개발과 국고보조 공모사업 선정을 위해 최선을 다하겠다”고 전했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388202
"칠곡소방서, 소방행정자문단장 이·취임식 개최",2023-04-15 23:34:20+00:00,"칠곡소방서(서장 민병관)는 지난 12일 칠곡소방서 대회의실에서 소방행정자문단장 이·취임식을 가졌다. 이날 이임하는 김웅정 단장은 지난 4년 동안 소방행정자문단장으로 재임하면서 소방행정 발전에 크게 기여했으며, 지역사회 봉사활동에도 솔선수범하는 등 자문단의 역할 및 위상정립을 위해 노력했다. 새로 취임하는 박경수 단장은 지난 2015년부터 부단장으로 활동해 왔으며, “앞으로 소방의 정책발전을 위해 최선을 다하겠다”고 밝혔다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388124
"영남 3대 반촌 `칠곡 매원마을`, 국가문화재 등록 예고",2023-04-15 23:30:24+00:00,"칠곡군은 문화재청에서 왜관읍 소재의 `칠곡 매원마을`을 국가등록문화재로 등록 예고했다고 16일 밝혔다. 칠곡 매원마을은 17세기 광주이씨 석담 이윤우(1569~1634)가 아들 이도장(1603~1644)을 데리고 함께 이사 온 후, 이도장의 차남 이원록(1629~1688)이 뿌리를 내려 그 후손들이 지금까지 살고 있는 영남지방의 대표적인 동족 마을 중 한 곳이다. 동족마을은 혈연관계가 있는 동성들이 모여서 이룬 마을을 말한다. 마을은 주변 자연지세에 순응해 기본적으로 동·서 방향을 축으로 형성돼 있으며 가운데 ‘중매’를 중심으로 동쪽의 ‘상매’와 서쪽의 ‘하매’로 영역이 구분되는데, 이는 동족 구성원들이 분파돼 나아가는 시간적․공간적 특성을 잘 보여주고 있는 것이다. 마을 곳곳에는 다양한 민속적 요소들이 자리 잡고 있는데 이중에서도 마을 서쪽 경계(풍수지리상 우백호에 해당)의 지형을 보강하기 위한 비보수로서의 ‘소나무 밭(동솔밭)’은 주거지로서의 전통적 개념이 잘 드러나 있는 중요한 내용이다. 또한 오늘날에도 동제를 통해서 마을의 전통을 계승해 오는 등 지난 400여 년간의 역사성을 비교적 잘 보존하고 있다. 이와 함께, 오늘날 칠곡 매원마을이 갖는 또 다른 중요한 문화유산적 가치로 평가되는 것은 근대기와 6․25전쟁 등을 거치면서 나타나는 시대적 변화상으로써 마을 내 여러 곳에 재실이 세워지게 되고 또한 주거의 기능으로 용도가 바뀌는 등의 유교적 질서체계가 시대적 상황에 순응하며 변모해 가는 양상을 비교적 구체적으로 들여다 볼 수 있다. 이에 근·현대기를 지나오면서 마을 영역의 확장 및 생활방식 등의 변화 속에서 다른 영남지방의 동족마을과 구별되는 시대적 특징을 잘 보여준다는 측면에서 국가등록문화재로서의 등록 가치를 인정받았으며, 그 공간적인 범위에는 역사성과 시대성을 담고 있는 가옥 및 재실, 서당 등을 비롯해 마을옛길, 문중 소유의 문전옥답, 옛 터 등 다양한 민속적 요소들이 포함돼 있다. 이번에 등록 예고된 칠곡 매원마을에 대해 문화재청은 30일간의 예고기간을 통해 의견을 수렴하고 문화재위원회 심의를 통해 최종 등록할 예정이다.김재욱 칠곡군수는 “매원마을이 국가등록 민속마을로 등록되는 것은 전국 최초의 사례로 안동 하회, 경주 양동과 함께 400여 년간 이어져 온 영남 3대 반촌의 역사·문화적 가치를 인정과, 특히 우리군과 주민간의 합심해 앞으로 매원마을에 대한 체계적인 종합정비계획을 수립해 문화재 보존관리와 활용방안을 마련하겠다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388123
"칠곡 가산면 지사협, 취약계층 주거환경개선사업 펼쳐",2023-04-15 23:22:10+00:00,"칠곡군 가산면 지역사회보장협의체는 지난 12일 취약계층의 주거환경을 개선하는 ‘저소득층 주거환경개선사업’을 실시했다. 복지사각지대 해소를 위한 협의체 연합 모금인 ‘함께모아 행복금고’의 지정기탁성금 50만원을 연계해 집안을 가득 채운 쓰레기 배출과 운반 처리, 집청소, 장판, 방충망, 변기 교체 등 대상자의 요청사항을 적극 반영한 맞춤형 주거내부환경개선을 제공하여 보다 나은 삶의 터전을 마련했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388122
"칠곡 아람어린이집 운영위, 호이장학금 기탁",2023-04-15 23:16:35+00:00,아람어린이집 운영위원회는 지난 13일 지역인재육성과 교육발전을 위해 써달라며 호이장학금 57만1400원을 (재)칠곡군호이장학회에 기탁했다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=388121
